County,FIPS,Democrats,Republicans,Libertarians,Green,NoLabels,Constitution,JusticeForAll,WeThePeople,Unaffiliated,White,Black,AmericanIndian,NativeHawaiian,Asian,Multiracial,Undesignated,Other,Hispanic,Male,Female,UnDisclosedGender,Total,Week Ending
LEE,105,12444,12045,288,9,35,0,0,0,14850,25431,7360,141,6,258,271,3758,2446,3483,16647,19876,3148,39671,02/24/2024
LENOIR,107,16378,10499,148,12,77,0,0,0,10944,18860,14711,64,7,101,126,3349,840,893,15394,19303,3361,38058,02/24/2024
LINCOLN,109,11722,32120,434,15,62,0,0,0,23444,57089,3653,87,2,324,151,4818,1673,2154,30112,32734,4951,67797,02/24/2024
MACON,113,4914,12478,195,3,6,0,0,0,10705,25921,200,63,0,118,63,1417,519,580,13087,14728,486,28301,02/24/2024
MADISON,115,4920,4831,117,10,20,0,0,0,7155,15312,130,27,0,48,45,1286,205,195,7492,8078,1483,17053,02/24/2024
MARTIN,117,7600,3515,52,2,4,0,0,0,4814,8564,6279,28,0,25,52,832,207,196,6692,8472,823,15987,02/24/2024
MCDOWELL,111,5517,13146,185,6,31,0,0,0,11086,27129,823,36,1,138,127,1138,579,642,13601,15043,1327,29971,02/24/2024
MECKLENBURG,119,322978,156015,5955,274,991,0,0,0,303199,404709,240544,2068,64,22727,5124,71868,42308,45732,331433,397861,60118,789412,02/24/2024
MITCHELL,121,1051,6502,44,3,6,0,0,0,3651,10105,41,12,1,15,14,978,91,145,4994,5460,803,11257,02/24/2024
MONTGOMERY,123,5054,6328,84,2,13,0,0,0,5624,11969,2962,46,0,186,44,1263,635,837,7539,8477,1089,17105,02/24/2024
MOORE,125,14992,31158,629,14,49,0,0,0,28623,60660,7448,354,6,637,229,3937,2194,1839,33145,38895,3425,75465,02/24/2024
NASH,127,28254,19453,311,9,82,0,0,0,19414,34098,26148,348,4,336,282,4400,1907,1879,28489,34780,4254,67523,02/24/2024
NORTHAMPTON,131,7692,1569,38,4,12,0,0,0,3398,5050,6946,35,0,7,20,566,89,68,5505,6568,640,12713,02/24/2024
ONSLOW,133,24185,48146,1818,34,179,0,0,0,52380,86153,19228,474,36,1742,837,11485,6787,7939,54163,62399,10180,126742,02/24/2024
ORANGE,135,50367,13323,558,30,47,0,0,0,44701,75557,11539,235,2,5166,1036,11314,4177,4374,44819,53145,11062,109026,02/24/2024
PAMLICO,137,2788,4152,60,5,7,0,0,0,3279,8009,1439,27,0,40,16,649,111,118,4567,5124,600,10291,02/24/2024
PASQUOTANK,139,10952,7680,218,7,36,0,0,0,11127,16952,9926,40,2,158,168,2090,684,438,12869,15085,2066,30020,02/24/2024
PENDER,141,10834,19883,430,14,58,0,0,0,18235,38074,5801,125,4,223,149,3824,1254,1363,21618,23945,3891,49454,02/24/2024
PERQUIMANS,143,2903,3593,58,2,12,0,0,0,3726,7601,1975,19,2,21,24,542,110,66,4514,5202,578,10294,02/24/2024
PERSON,145,9430,8230,125,6,18,0,0,0,9914,18015,6894,118,2,58,103,1995,538,541,11935,13918,1870,27723,02/24/2024
PITT,147,48105,30829,786,35,135,0,0,0,42387,65092,40513,246,8,1066,704,10234,4414,3538,49416,61866,10995,122277,02/24/2024
POLK,149,3585,6248,114,5,13,0,0,0,6697,14770,583,10,2,52,37,936,272,313,7387,8740,535,16662,02/24/2024
RANDOLPH,151,14889,49887,602,9,76,0,0,0,30362,78069,6088,314,7,711,220,6781,3635,4065,42409,47379,6037,95825,02/24/2024
RICHMOND,153,11793,7566,131,6,29,0,0,0,8957,16741,8845,413,0,151,59,1470,803,621,12471,14704,1307,28482,02/24/2024
ROBESON,155,34686,13776,244,10,106,0,0,0,24392,20339,19084,25188,26,305,465,4846,2961,2281,31352,38978,2884,73214,02/24/2024
ROCKINGHAM,157,17410,24409,334,14,43,0,0,0,19362,43054,11083,101,0,216,169,5732,1217,1306,27421,32061,2090,61572,02/24/2024
ROWAN,159,22288,41610,626,17,145,0,0,0,32501,70707,15312,178,6,510,338,7377,2759,3211,41966,47847,7374,97187,02/24/2024
RUTHERFORD,161,9761,20092,256,6,34,0,0,0,16333,37818,3981,55,0,137,118,3494,879,935,20115,23124,3243,46482,02/24/2024
SAMPSON,163,12570,15482,178,3,68,0,0,0,9964,22211,10017,536,0,95,129,2976,2301,3010,16629,19695,1941,38265,02/24/2024
SCOTLAND,165,9872,4663,78,8,24,0,0,0,7072,9734,8127,1713,10,163,93,1608,269,233,8922,11289,1506,21717,02/24/2024
STANLY,167,8386,21223,215,19,79,0,0,0,14598,34370,4606,77,3,433,65,4182,784,751,18842,21351,4327,44520,02/24/2024
STOKES,169,5148,17012,216,11,21,0,0,0,10010,27890,1188,51,1,63,77,2752,396,471,15428,16931,59,32418,02/24/2024
SURRY,171,9117,22344,243,15,38,0,0,0,16036,40595,1691,47,2,126,94,3755,1483,2176,21081,23636,3076,47793,02/24/2024
SWAIN,173,2748,3110,67,5,5,0,0,0,3882,7500,98,1545,1,35,30,485,123,83,4453,4964,400,9817,02/24/2024
TRANSYLVANIA,175,5627,8459,154,3,14,0,0,0,11997,23411,727,50,1,88,75,1586,316,270,11481,13230,1543,26254,02/24/2024
TYRRELL,177,994,465,8,0,1,0,0,0,841,1417,640,3,0,20,5,178,46,43,1015,1105,189,2309,02/24/2024
UNION,179,39882,70646,1180,47,175,0,0,0,66538,124960,19903,522,10,4208,786,19838,8241,9113,76591,84962,16915,178468,02/24/2024
VANCE,181,16058,5028,104,7,30,0,0,0,7062,11322,14002,59,1,92,104,1991,718,775,11624,14834,1831,28289,02/24/2024
WAKE,183,286727,176696,6316,263,889,0,0,0,352474,504760,147498,2120,58,34234,5513,87369,41813,36500,347530,398713,77122,823365,02/24/2024
WARREN,185,7741,2288,42,1,12,0,0,0,3089,5450,6222,526,2,26,44,731,172,127,5642,6800,731,13173,02/24/2024
WASHINGTON,187,4509,1413,24,0,1,0,0,0,1996,3615,3724,9,0,18,16,473,88,66,3339,4156,448,7943,02/24/2024
WATAUGA,189,11265,12455,400,47,11,0,0,0,20177,38678,843,62,11,375,458,3138,790,1272,19121,22174,3060,44355,02/24/2024
WAYNE,191,26697,25607,444,16,161,0,0,0,21749,41458,23346,133,4,521,341,5255,3616,3224,31393,37729,5552,74674,02/24/2024
WILKES,193,6712,24185,210,5,31,0,0,0,12995,38598,1588,48,0,132,118,2847,807,987,19525,21576,3037,44138,02/24/2024
WILSON,195,24692,13927,247,10,67,0,0,0,16238,27018,21838,115,0,281,167,3747,2015,1946,23071,29009,3101,55181,02/24/2024
YADKIN,197,2943,14193,138,4,17,0,0,0,7664,21722,729,25,1,59,37,1611,775,1020,11182,12229,1548,24959,02/24/2024
YANCEY,199,3710,5425,86,2,15,0,0,0,5116,13098,76,25,1,28,26,955,145,158,6457,7056,841,14354,02/24/2024
ALAMANCE,001,37082,36672,699,25,51,0,0,0,39224,73917,23532,259,10,1077,672,9575,4711,6061,47496,57526,8731,113753,03/02/2024
ALEXANDER,003,4123,12198,113,3,19,0,0,0,8739,22079,965,35,1,154,37,1551,373,511,11423,12190,1582,25195,03/02/2024
ALLEGHANY,005,1733,3351,43,0,6,0,0,0,2832,7074,73,7,0,6,15,655,135,240,3545,3820,600,7965,03/02/2024
ANSON,007,8768,3120,57,2,11,0,0,0,4135,6822,6451,31,1,97,22,2482,187,141,6137,7398,2558,16093,03/02/2024
ASHE,009,3724,9281,106,2,10,0,0,0,7146,18648,117,24,2,52,18,1184,224,336,9132,10055,1082,20269,03/02/2024
AVERY,011,1295,7349,65,1,10,0,0,0,4103,11645,62,19,0,25,19,934,119,116,5729,6285,809,12823,03/02/2024
BEAUFORT,013,10241,12859,135,3,16,0,0,0,11000,23940,7169,41,2,61,69,2253,719,687,14672,17232,2350,34254,03/02/2024
BERTIE,015,7666,1702,38,1,2,0,0,0,3244,4603,7115,19,1,32,18,795,70,56,5268,6593,792,12653,03/02/2024
BLADEN,017,9220,5498,88,2,11,0,0,0,7798,12655,7552,408,3,23,94,1371,511,615,9861,11613,1143,22617,03/02/2024
BRUNSWICK,019,27236,53328,714,18,78,0,0,0,50564,109811,9001,386,9,520,255,9741,2215,2110,56141,64935,10862,131938,03/02/2024
BUNCOMBE,021,72597,44855,1654,113,168,0,0,0,89193,173491,10203,341,45,1554,989,16441,5516,5415,89003,104305,15272,208580,03/02/2024
BURKE,023,12527,23647,360,8,27,0,0,0,22457,49325,3071,90,1,948,127,4084,1380,1422,25885,28853,4288,59026,03/02/2024
CABARRUS,025,43697,51464,1226,68,187,0,0,0,58915,97683,31545,401,10,3561,744,14719,6894,7427,65313,76533,13711,155557,03/02/2024
CALDWELL,027,9290,26581,372,5,32,0,0,0,17608,46088,2553,73,0,187,133,3916,938,1166,23872,26426,3590,53888,03/02/2024
CAMDEN,029,1412,3226,76,0,12,0,0,0,3805,6993,937,10,1,35,18,381,156,64,3908,4192,431,8531,03/02/2024
CARTERET,031,9299,26028,359,7,36,0,0,0,20944,49032,2234,105,7,296,136,4114,749,750,24579,27824,4270,56673,03/02/2024
CASWELL,033,5957,4275,62,2,7,0,0,0,4947,9438,4558,23,1,30,49,938,213,235,6685,7611,954,15250,03/02/2024
CATAWBA,035,20125,48429,674,19,137,0,0,0,42638,87085,8739,145,4,2523,344,8684,4498,4972,48912,54432,8678,112022,03/02/2024
CHATHAM,037,21052,14404,327,13,49,0,0,0,25104,44735,5888,125,3,1065,258,6878,1997,2356,25097,29232,6620,60949,03/02/2024
CHEROKEE,039,3301,11992,151,1,9,0,0,0,7903,21751,249,120,1,88,32,883,233,247,11026,11849,482,23357,03/02/2024
CHOWAN,041,3635,3164,43,1,8,0,0,0,3532,6761,2871,14,5,16,24,578,114,88,4509,5495,379,10383,03/02/2024
CLAY,043,1378,4794,61,0,2,0,0,0,3616,9249,42,16,0,17,10,439,78,91,4500,4941,410,9851,03/02/2024
CLEVELAND,045,19754,26108,410,13,50,0,0,0,21508,47244,13322,90,4,315,220,5490,1158,1084,28925,33536,5382,67843,03/02/2024
COLUMBUS,047,13983,10859,114,4,6,0,0,0,11462,22063,10275,944,4,63,88,2396,595,561,15652,18511,2265,36428,03/02/2024
CRAVEN,049,19951,28336,596,21,100,0,0,0,27429,53202,14283,180,8,1196,291,4915,2358,2212,32766,38840,4827,76433,03/02/2024
CUMBERLAND,051,87058,49088,1835,82,306,0,0,0,75327,86507,85208,2365,69,3445,2075,20786,13241,13857,86094,107116,20486,213696,03/02/2024
CURRITUCK,053,3352,10234,218,4,35,0,0,0,10417,21021,1199,47,3,104,75,1345,466,261,11147,11788,1325,24260,03/02/2024
DARE,055,7497,11432,259,11,25,0,0,0,14053,30082,559,37,1,127,62,1817,592,361,14990,16498,1789,33277,03/02/2024
DAVIDSON,057,21305,56159,708,18,139,0,0,0,38189,92568,10727,244,7,862,264,8902,2944,3319,50628,57275,8615,116518,03/02/2024
DAVIE,059,4649,16539,159,10,44,0,0,0,11159,27394,1930,45,0,141,81,2305,664,881,14437,16095,2028,32560,03/02/2024
DUPLIN,061,10737,9922,132,9,27,0,0,0,10708,18405,8121,72,1,69,135,3109,1623,2426,13384,15659,2492,31535,03/02/2024
DURHAM,063,124548,23379,1192,78,243,0,0,0,86032,113641,73201,567,38,8559,2685,26857,9924,11745,92875,117973,24624,235472,03/02/2024
EDGECOMBE,065,20458,6621,105,4,36,0,0,0,7045,12011,19303,59,2,47,114,2124,609,635,13914,18251,2104,34269,03/02/2024
FORSYTH,067,97215,71046,1682,88,279,0,0,0,94323,159441,65269,512,30,3420,1526,23749,10686,13742,108572,133655,22406,264633,03/02/2024
FRANKLIN,069,16809,16293,389,9,49,0,0,0,18606,33016,12036,141,3,312,190,4732,1725,1953,21849,25044,5262,52155,03/02/2024
GASTON,071,40456,60503,1181,34,246,0,0,0,54119,108687,27566,332,4,1359,659,12553,5379,6099,66703,78475,11361,156539,03/02/2024
GATES,073,3416,2131,37,2,8,0,0,0,2670,5143,2451,16,0,11,40,519,84,55,3604,4101,559,8264,03/02/2024
GRAHAM,075,1081,3079,33,0,1,0,0,0,1908,5534,9,262,1,19,5,230,42,39,2862,3032,208,6102,03/02/2024
GRANVILLE,077,15931,11046,221,7,56,0,0,0,13407,23144,11514,78,3,180,191,4267,1291,1217,16538,19145,4985,40668,03/02/2024
GREENE,079,4812,2539,28,1,13,0,0,0,3545,5967,3760,12,0,17,24,679,479,522,4725,5645,568,10938,03/02/2024
GUILFORD,081,154959,88552,2214,98,289,0,0,0,131522,193576,125528,957,28,9745,2684,30422,14694,14242,158384,197311,21939,377634,03/02/2024
HALIFAX,083,20319,4867,103,3,41,0,0,0,10478,13722,18375,1039,5,173,138,1948,411,313,15308,18608,1895,35811,03/02/2024
HARNETT,085,23998,31044,802,33,128,0,0,0,30434,53485,17641,474,17,660,506,9015,4641,5482,36016,42244,8179,86439,03/02/2024
HAYWOOD,087,11926,16234,311,14,26,0,0,0,17567,42513,476,116,0,154,97,2183,539,628,20775,23623,1680,46078,03/02/2024
HENDERSON,089,17119,32175,625,28,75,0,0,0,39522,77697,2388,145,10,539,389,5929,2447,2969,38442,45640,5462,89544,03/02/2024
HERTFORD,091,8785,1567,38,2,9,0,0,0,3390,4455,8290,94,2,41,57,708,144,99,5693,7432,666,13791,03/02/2024
HOKE,093,13794,7475,312,16,26,0,0,0,12106,13241,12705,1972,16,348,255,2815,2377,2473,14613,17438,1678,33729,03/02/2024
HYDE,095,1364,684,16,0,0,0,0,0,1128,2388,574,0,0,1,9,174,46,67,1416,1611,165,3192,03/02/2024
IREDELL,097,27326,57252,900,29,125,0,0,0,53458,108132,14934,221,5,1518,452,9558,4270,4960,61397,68007,9686,139090,03/02/2024
JACKSON,099,8410,8544,255,16,11,0,0,0,12805,24603,625,1577,6,246,191,2143,650,775,13130,14680,2231,30041,03/02/2024
JOHNSTON,101,39989,57721,1218,47,316,0,0,0,56622,104768,25989,433,17,950,648,16244,6864,8954,67540,77689,10684,155913,03/02/2024
JONES,103,2478,2353,35,0,8,0,0,0,2323,4454,2041,13,1,20,23,550,95,105,3088,3551,558,7197,03/02/2024
LEE,105,12444,12043,288,9,35,0,0,0,14846,25431,7358,141,6,258,271,3755,2445,3482,16645,19874,3146,39665,03/02/2024
LENOIR,107,16374,10497,148,12,77,0,0,0,10945,18852,14709,64,7,101,126,3354,840,893,15389,19298,3366,38053,03/02/2024
LINCOLN,109,11724,32129,434,15,62,0,0,0,23438,57089,3652,88,2,324,151,4824,1672,2152,30119,32735,4948,67802,03/02/2024
MACON,113,4914,12478,195,3,6,0,0,0,10705,25923,200,63,0,118,63,1417,517,578,13091,14724,486,28301,03/02/2024
MADISON,115,4912,4827,117,10,22,0,0,0,7151,15301,129,27,0,48,44,1284,206,194,7486,8072,1481,17039,03/02/2024
MARTIN,117,7602,3517,52,2,4,0,0,0,4814,8563,6279,28,0,25,52,837,207,196,6691,8473,827,15991,03/02/2024
MCDOWELL,111,5515,13153,185,6,31,0,0,0,11087,27137,822,36,1,138,127,1137,579,643,13606,15046,1325,29977,03/02/2024
MECKLENBURG,119,322947,156009,5956,274,991,0,0,0,303174,404652,240536,2068,64,22726,5126,71870,42309,45728,331407,397835,60109,789351,03/02/2024
MITCHELL,121,1048,6502,44,3,6,0,0,0,3651,10099,41,12,1,15,14,981,91,145,4992,5456,806,11254,03/02/2024
MONTGOMERY,123,5052,6329,84,2,13,0,0,0,5626,11970,2960,46,0,186,44,1264,636,838,7538,8479,1089,17106,03/02/2024
MOORE,125,14983,31137,629,14,49,0,0,0,28614,60624,7445,355,6,637,229,3936,2194,1839,33128,38874,3424,75426,03/02/2024
NASH,127,28255,19455,311,8,82,0,0,0,19413,34104,26147,348,4,337,282,4396,1906,1880,28493,34782,4249,67524,03/02/2024
NORTHAMPTON,131,7694,1570,38,4,12,0,0,0,3397,5049,6948,35,0,7,20,567,89,68,5505,6569,641,12715,03/02/2024
ONSLOW,133,24177,48139,1817,34,179,0,0,0,52348,86116,19225,475,36,1742,836,11479,6785,7933,54136,62383,10175,126694,03/02/2024
ORANGE,135,50357,13324,558,30,47,0,0,0,44708,75553,11543,236,2,5164,1038,11314,4174,4378,44815,53152,11057,109024,03/02/2024
PAMLICO,137,2788,4153,60,5,7,0,0,0,3280,8011,1439,27,0,40,16,649,111,118,4570,5123,600,10293,03/02/2024
PASQUOTANK,139,10957,7680,218,7,36,0,0,0,11130,16955,9931,40,2,158,168,2090,684,438,12872,15090,2066,30028,03/02/2024
PENDER,141,10839,19903,430,14,58,0,0,0,18238,38094,5805,125,4,224,150,3826,1254,1363,21633,23957,3892,49482,03/02/2024
PERQUIMANS,143,2904,3592,58,2,12,0,0,0,3725,7598,1976,19,2,21,24,544,109,65,4511,5202,580,10293,03/02/2024
PERSON,145,9422,8225,125,6,18,0,0,0,9909,18007,6886,118,2,58,102,1995,537,538,11931,13907,1867,27705,03/02/2024
PITT,147,48088,30821,786,35,135,0,0,0,42372,65073,40499,246,8,1065,702,10229,4415,3538,49399,61853,10985,122237,03/02/2024
POLK,149,3583,6253,114,5,13,0,0,0,6689,14765,583,10,2,52,37,936,272,313,7385,8737,535,16657,03/02/2024
RANDOLPH,151,14884,49876,602,9,76,0,0,0,30352,78036,6090,315,7,711,220,6785,3635,4066,42390,47369,6040,95799,03/02/2024
RICHMOND,153,11790,7568,131,6,29,0,0,0,8952,16738,8843,413,0,151,59,1469,803,621,12471,14699,1306,28476,03/02/2024
ROBESON,155,34678,13787,245,10,105,0,0,0,24368,20337,19059,25209,26,305,465,4835,2957,2279,31357,38965,2871,73193,03/02/2024
ROCKINGHAM,157,17399,24405,334,14,43,0,0,0,19354,43044,11076,101,0,215,169,5728,1216,1306,27416,32045,2088,61549,03/02/2024
ROWAN,159,22275,41611,626,17,145,0,0,0,32500,70695,15304,178,6,511,338,7383,2759,3213,41958,47837,7379,97174,03/02/2024
RUTHERFORD,161,9746,20082,256,6,34,0,0,0,16316,37780,3975,55,0,137,117,3498,878,935,20096,23100,3244,46440,03/02/2024
SAMPSON,163,12566,15477,178,3,67,0,0,0,9958,22201,10013,535,0,95,129,2977,2299,3008,16616,19692,1941,38249,03/02/2024
SCOTLAND,165,9868,4664,78,8,24,0,0,0,7070,9734,8124,1712,10,163,93,1607,269,233,8920,11287,1505,21712,03/02/2024
STANLY,167,8383,21208,215,19,78,0,0,0,14591,34340,4606,77,3,433,65,4188,782,751,18824,21338,4332,44494,03/02/2024
STOKES,169,5149,17026,216,11,21,0,0,0,10013,27907,1189,51,1,63,77,2752,396,471,15434,16943,59,32436,03/02/2024
SURRY,171,9114,22349,243,15,38,0,0,0,16032,40592,1692,47,2,126,94,3752,1486,2177,21081,23632,3078,47791,03/02/2024
SWAIN,173,2749,3116,67,5,5,0,0,0,3886,7510,99,1544,1,35,30,486,123,85,4463,4965,400,9828,03/02/2024
TRANSYLVANIA,175,5626,8461,154,3,14,0,0,0,11998,23409,727,50,1,88,75,1590,316,271,11480,13230,1546,26256,03/02/2024
TYRRELL,177,994,465,8,0,1,0,0,0,841,1417,640,3,0,20,5,178,46,43,1015,1105,189,2309,03/02/2024
UNION,179,39859,70618,1180,47,175,0,0,0,66493,124894,19887,522,10,4206,784,19835,8234,9108,76551,84909,16912,178372,03/02/2024
VANCE,181,16056,5026,104,7,29,0,0,0,7063,11319,14001,59,1,92,104,1990,719,775,11623,14833,1829,28285,03/02/2024
WAKE,183,286691,176686,6319,263,888,0,0,0,352429,504650,147420,2122,59,34238,5506,87465,41816,36502,347428,398634,77214,823276,03/02/2024
WARREN,185,7749,2292,42,1,14,0,0,0,3092,5461,6224,526,2,26,44,735,172,127,5649,6808,733,13190,03/02/2024
WASHINGTON,187,4507,1413,24,0,1,0,0,0,1996,3614,3723,9,0,18,16,473,88,66,3339,4154,448,7941,03/02/2024
WATAUGA,189,11274,12442,399,47,11,0,0,0,20174,38671,843,62,10,375,459,3136,791,1277,19115,22174,3058,44347,03/02/2024
WAYNE,191,26655,25586,443,16,161,0,0,0,21731,41417,23317,133,4,522,342,5244,3613,3221,31363,37690,5539,74592,03/02/2024
WILKES,193,6710,24191,210,5,31,0,0,0,12997,38603,1588,48,0,132,118,2848,807,987,19527,21581,3036,44144,03/02/2024
WILSON,195,24687,13924,247,10,67,0,0,0,16226,27011,21826,115,0,281,168,3745,2015,1947,23050,29012,3099,55161,03/02/2024
YADKIN,197,2944,14198,138,4,16,0,0,0,7663,21720,729,25,1,59,37,1615,777,1020,11184,12231,1548,24963,03/02/2024
YANCEY,199,3700,5416,86,2,15,0,0,0,5107,13071,75,25,1,28,26,955,145,158,6447,7039,840,14326,03/02/2024
ALAMANCE,001,37074,36673,698,25,51,0,0,0,39228,73916,23530,259,10,1076,672,9575,4711,6059,47490,57528,8731,113749,03/09/2024
ALEXANDER,003,4122,12192,113,3,19,0,0,0,8741,22072,965,35,1,154,37,1554,372,510,11418,12188,1584,25190,03/09/2024
ALLEGHANY,005,1732,3354,43,0,6,0,0,0,2832,7074,73,7,0,6,15,657,135,240,3546,3819,602,7967,03/09/2024
ANSON,007,8769,3119,57,2,11,0,0,0,4137,6822,6451,31,1,97,22,2484,187,141,6137,7398,2560,16095,03/09/2024
ASHE,009,3719,9274,106,2,10,0,0,0,7143,18631,117,24,2,52,18,1188,222,334,9122,10046,1086,20254,03/09/2024
AVERY,011,1295,7347,65,1,10,0,0,0,4104,11643,62,19,0,25,19,935,119,116,5728,6284,810,12822,03/09/2024
BEAUFORT,013,10237,12858,135,3,16,0,0,0,11001,23937,7165,41,2,61,69,2256,719,687,14671,17228,2351,34250,03/09/2024
BERTIE,015,7664,1706,38,1,2,0,0,0,3251,4608,7118,19,1,32,18,796,70,56,5274,6594,794,12662,03/09/2024
BLADEN,017,9222,5500,88,2,11,0,0,0,7800,12660,7553,408,3,23,94,1371,511,615,9866,11614,1143,22623,03/09/2024
BRUNSWICK,019,27238,53324,714,18,78,0,0,0,50561,109798,9002,386,9,520,255,9748,2215,2110,56136,64931,10866,131933,03/09/2024
BUNCOMBE,021,72620,44852,1654,113,168,0,0,0,89204,173490,10201,342,45,1554,989,16473,5517,5416,89002,104311,15298,208611,03/09/2024
BURKE,023,12520,23653,360,8,27,0,0,0,22456,49323,3069,90,1,949,128,4084,1380,1422,25890,28848,4286,59024,03/09/2024
CABARRUS,025,43682,51460,1225,68,187,0,0,0,58911,97669,31536,401,10,3561,745,14717,6894,7426,65299,76526,13708,155533,03/09/2024
CALDWELL,027,9291,26584,372,5,32,0,0,0,17610,46091,2553,74,0,187,134,3917,938,1166,23874,26430,3590,53894,03/09/2024
CAMDEN,029,1411,3225,76,0,12,0,0,0,3805,6992,937,10,1,35,18,380,156,64,3907,4191,431,8529,03/09/2024
CARTERET,031,9300,26025,359,7,36,0,0,0,20941,49025,2235,105,7,296,136,4115,749,750,24576,27821,4271,56668,03/09/2024
CASWELL,033,5958,4276,62,2,7,0,0,0,4946,9438,4558,23,1,30,49,939,213,234,6685,7611,955,15251,03/09/2024
CATAWBA,035,20120,48423,674,19,137,0,0,0,42631,87063,8739,145,4,2524,346,8685,4498,4972,48903,54422,8679,112004,03/09/2024
CHATHAM,037,21003,14379,326,13,49,0,0,0,25085,44653,5873,125,3,1063,257,6880,2001,2357,25052,29181,6622,60855,03/09/2024
CHEROKEE,039,3294,11983,151,1,9,0,0,0,7902,21735,248,120,1,88,32,883,233,247,11018,11840,482,23340,03/09/2024
CHOWAN,041,3634,3166,43,1,8,0,0,0,3531,6761,2870,14,5,16,24,579,114,87,4508,5495,380,10383,03/09/2024
CLAY,043,1378,4792,61,0,2,0,0,0,3618,9249,42,16,0,17,10,439,78,91,4499,4942,410,9851,03/09/2024
CLEVELAND,045,19754,26109,410,13,50,0,0,0,21508,47242,13322,90,4,315,220,5493,1158,1084,28925,33534,5385,67844,03/09/2024
COLUMBUS,047,13979,10863,114,4,6,0,0,0,11464,22066,10273,944,4,63,88,2397,595,561,15653,18511,2266,36430,03/09/2024
CRAVEN,049,19936,28332,597,21,100,0,0,0,27421,53182,14276,180,8,1196,289,4918,2358,2214,32750,38830,4827,76407,03/09/2024
CUMBERLAND,051,87057,49088,1835,82,306,0,0,0,75319,86501,85207,2365,69,3446,2077,20781,13241,13856,86093,107112,20482,213687,03/09/2024
CURRITUCK,053,3353,10237,218,4,35,0,0,0,10420,21028,1199,47,3,104,75,1345,466,261,11153,11789,1325,24267,03/09/2024
DARE,055,7494,11426,259,11,25,0,0,0,14047,30068,559,37,1,127,62,1816,592,361,14984,16491,1787,33262,03/09/2024
DAVIDSON,057,21300,56162,708,18,139,0,0,0,38189,92564,10728,244,7,862,264,8904,2943,3318,50626,57274,8616,116516,03/09/2024
DAVIE,059,4648,16546,159,10,44,0,0,0,11159,27400,1930,45,0,141,81,2306,663,881,14436,16101,2029,32566,03/09/2024
DUPLIN,061,10738,9925,132,9,27,0,0,0,10709,18408,8122,72,1,69,135,3110,1623,2426,13386,15662,2492,31540,03/09/2024
DURHAM,063,124575,23376,1192,78,243,0,0,0,86035,113652,73199,569,38,8567,2689,26857,9928,11756,92882,117997,24620,235499,03/09/2024
EDGECOMBE,065,20463,6622,105,4,36,0,0,0,7042,12013,19305,59,2,47,114,2123,609,635,13917,18252,2103,34272,03/09/2024
FORSYTH,067,97244,71060,1682,88,279,0,0,0,94338,159462,65281,512,30,3422,1527,23768,10689,13745,108593,133674,22424,264691,03/09/2024
FRANKLIN,069,16789,16281,389,9,49,0,0,0,18590,32983,12024,141,3,311,193,4727,1725,1952,21823,25026,5258,52107,03/09/2024
GASTON,071,40455,60504,1181,34,246,0,0,0,54116,108681,27569,332,4,1359,658,12554,5379,6098,66703,78475,11358,156536,03/09/2024
GATES,073,3413,2133,37,2,8,0,0,0,2669,5144,2448,16,0,11,40,519,84,55,3603,4100,559,8262,03/09/2024
GRAHAM,075,1080,3080,33,0,1,0,0,0,1908,5534,9,262,1,19,5,230,42,39,2863,3031,208,6102,03/09/2024
GRANVILLE,077,15935,11050,221,7,56,0,0,0,13410,23150,11517,78,3,180,191,4269,1291,1216,16543,19149,4987,40679,03/09/2024
GREENE,079,4811,2537,28,1,13,0,0,0,3546,5963,3762,12,0,17,24,679,479,522,4724,5644,568,10936,03/09/2024
GUILFORD,081,154978,88557,2215,98,289,0,0,0,131534,193598,125545,957,28,9742,2689,30420,14692,14249,158389,197347,21935,377671,03/09/2024
HALIFAX,083,20331,4865,103,3,41,0,0,0,10479,13723,18382,1039,5,173,138,1951,411,313,15313,18611,1898,35822,03/09/2024
HARNETT,085,23990,31042,804,33,128,0,0,0,30428,53471,17637,474,17,660,506,9019,4641,5483,36015,42230,8180,86425,03/09/2024
HAYWOOD,087,11927,16231,311,14,26,0,0,0,17569,42512,476,116,0,154,97,2184,539,629,20775,23623,1680,46078,03/09/2024
HENDERSON,089,17114,32164,625,28,75,0,0,0,39515,77675,2386,145,10,540,389,5929,2447,2970,38424,45636,5461,89521,03/09/2024
HERTFORD,091,8783,1566,38,2,9,0,0,0,3388,4454,8288,94,2,41,57,706,144,99,5688,7433,665,13786,03/09/2024
HOKE,093,13794,7472,312,16,26,0,0,0,12106,13239,12706,1972,16,348,255,2813,2377,2473,14611,17438,1677,33726,03/09/2024
HYDE,095,1364,683,16,0,0,0,0,0,1128,2387,574,0,0,1,9,174,46,67,1416,1610,165,3191,03/09/2024
IREDELL,097,27327,57261,900,29,125,0,0,0,53454,108132,14933,221,5,1519,452,9564,4270,4962,61400,68006,9690,139096,03/09/2024
JACKSON,099,8400,8543,255,16,12,0,0,0,12797,24590,623,1579,6,245,190,2141,649,776,13115,14680,2228,30023,03/09/2024
JOHNSTON,101,39995,57734,1218,47,316,0,0,0,56632,104782,25989,434,17,952,649,16254,6865,8954,67554,77695,10693,155942,03/09/2024
