County,FIPS,Democrats,Republicans,Libertarians,Green,NoLabels,Constitution,JusticeForAll,WeThePeople,Unaffiliated,White,Black,AmericanIndian,NativeHawaiian,Asian,Multiracial,Undesignated,Other,Hispanic,Male,Female,UnDisclosedGender,Total,Week Ending
POLK,149,3567,6243,114,5,13,0,0,0,6673,14723,582,10,2,52,37,938,271,312,7365,8718,532,16615,05/18/2024
RANDOLPH,151,14818,49740,602,9,76,0,0,0,30263,77790,6075,312,7,714,220,6751,3639,4072,42253,47249,6006,95508,05/18/2024
RICHMOND,153,11774,7599,131,8,37,0,0,0,9028,16789,8867,412,0,153,58,1477,821,631,12498,14755,1324,28577,05/18/2024
ROBESON,155,34675,13897,246,11,116,0,0,0,24727,20415,19159,25302,27,307,469,5007,2986,2318,31506,39144,3022,73672,05/18/2024
ROCKINGHAM,157,17289,24349,332,14,45,0,0,0,19309,42907,11016,97,0,214,169,5719,1216,1308,27294,31958,2086,61338,05/18/2024
ROWAN,159,22169,41483,625,17,145,0,0,0,32422,70473,15259,175,6,511,337,7337,2763,3210,41838,47689,7334,96861,05/18/2024
RUTHERFORD,161,9679,20026,254,6,34,0,0,0,16275,37644,3960,53,0,137,117,3482,881,936,20020,23027,3227,46274,05/18/2024
SAMPSON,163,12503,15427,177,3,67,0,0,0,9927,22115,9972,533,0,95,127,2961,2301,3008,16561,19617,1926,38104,05/18/2024
SCOTLAND,165,9711,4608,78,8,24,0,0,0,6991,9591,8013,1694,10,162,93,1590,267,232,8785,11146,1489,21420,05/18/2024
STANLY,167,8342,21154,215,19,78,0,0,0,14543,34245,4592,78,3,432,64,4152,785,753,18759,21292,4300,44351,05/18/2024
STOKES,169,5105,16956,215,11,21,0,0,0,9990,27793,1183,53,1,63,77,2733,395,472,15365,16874,59,32298,05/18/2024
SURRY,171,9041,22274,242,15,38,0,0,0,15960,40410,1686,47,2,126,94,3719,1486,2173,20991,23535,3044,47570,05/18/2024
SWAIN,173,2721,3104,67,5,5,0,0,0,3867,7460,98,1534,1,35,29,489,123,85,4436,4934,399,9769,05/18/2024
